_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_reg,int_cod_reg,int_desc_circ,int_cod_circ,int_desc_prov,int_cod_prov,int_desc_com,int_cod_com
98,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,LUCINASCO,301
99,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,MENDATICA,310
100,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,MOLINI DI TRIORA,320
101,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,MONTALTO CARPASIO,325
102,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,MONTEGROSSO PIAN LATTE,340
103,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,OLIVETTA SAN MICHELE,350
104,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,OSPEDALETTI,360
105,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,PERINALDO,370
106,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,PIETRABRUNA,380
107,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,PIEVE DI TECO,390
108,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,PIGNA,400
109,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,POMPEIANA,410
110,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,PONTEDASSIO,420
111,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,PORNASSIO,430
112,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,PRELA',440
113,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,RANZO,450
114,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,REZZO,460
115,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,RIVA LIGURE,461
116,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,ROCCHETTA NERVINA,480
117,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,SAN BARTOLOMEO AL MARE,490
118,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,SAN BIAGIO DELLA CIMA,500
119,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,SAN LORENZO AL MARE,510
120,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,SANREMO,520
121,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,SANTO STEFANO AL MARE,521
122,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,SEBORGA,530
123,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,SOLDANO,540
124,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,TAGGIA,550
125,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,TERZORIO,560
126,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,TRIORA,570
127,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,VALLEBONA,580
128,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,VALLECROSIA,590
