_link,_link_main,cogn,nome,a_nome,d_nasc,l_nasc,pos,desc_lis_r,img_lis_r,voti,perc,tot_vot_lis,perc_lis
22.cand.6,22,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,0.47,1,0.50
22.cand.7,22,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,1,0.47,0,0
22.cand.8,22,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
23.cand.0,23,BUCCI,MARCO,,19591031000000,GENOVA,8,,,96,61.15,93,62.00
23.cand.1,23,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,39,24.84,38,25.33
23.cand.2,23,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,18,11.46,15,10.00
23.cand.3,23,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,2,1.27,2,1.33
23.cand.4,23,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,1,0.64,1,0.67
23.cand.5,23,MORRA,NICOLA,,19630705000000,GENOVA,7,,,1,0.64,1,0.67
23.cand.6,23,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
23.cand.7,23,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0
23.cand.8,23,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0
24.cand.0,24,BUCCI,MARCO,,19591031000000,GENOVA,8,,,183,59.42,170,59.65
24.cand.1,24,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,111,36.04,102,35.79
24.cand.2,24,MORRA,NICOLA,,19630705000000,GENOVA,7,,,6,1.95,6,2.11
24.cand.3,24,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,3,0.97,3,1.05
24.cand.4,24,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,3,0.97,2,0.70
24.cand.5,24,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,0.32,1,0.35
24.cand.6,24,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,1,0.32,1,0.35
24.cand.7,24,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0
24.cand.8,24,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0
25.cand.0,25,BUCCI,MARCO,,19591031000000,GENOVA,8,,,169,61.45,153,58.85
25.cand.1,25,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,80,29.09,80,30.77
25.cand.2,25,MORRA,NICOLA,,19630705000000,GENOVA,7,,,16,5.82,17,6.54
25.cand.3,25,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,7,2.55,7,2.69
25.cand.4,25,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,2,0.73,2,0.77
25.cand.5,25,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,1,0.36,1,0.38
25.cand.6,25,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
25.cand.7,25,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
25.cand.8,25,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0
26.cand.0,26,BUCCI,MARCO,,19591031000000,GENOVA,8,,,229,59.95,203,60.42
26.cand.1,26,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,130,34.03,112,33.33
