_link_cand,_link,_link_main,pos,desc_lis_c,img_lis_c,voti,perc,cogn,nome,com_istat_code
3.cand.2,3.cand.2.liste.0,3,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,17,0.84,TOSCANO,FRANCESCO,010004
3.cand.1,3.cand.1.liste.6,3,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,1,0.05,BUCCI,MARCO,010004
3.cand.0,3.cand.0.liste.1,3,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,152,7.55,ORLANDO,ANDREA,010004
3.cand.5,3.cand.5.liste.0,3,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,15,0.75,MORRA,NICOLA,010004
3.cand.1,3.cand.1.liste.5,3,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,27,1.34,BUCCI,MARCO,010004
3.cand.1,3.cand.1.liste.3,3,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,152,7.55,BUCCI,MARCO,010004
3.cand.1,3.cand.1.liste.4,3,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,139,6.91,BUCCI,MARCO,010004
3.cand.0,3.cand.0.liste.2,3,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,89,4.42,ORLANDO,ANDREA,010004
3.cand.0,3.cand.0.liste.5,3,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,33,1.64,ORLANDO,ANDREA,010004
3.cand.7,3.cand.7.liste.0,3,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,6,0.30,FELICE,DAVIDE,010004
3.cand.4,3.cand.4.liste.0,3,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,6,0.30,CELLA,MARIA ANTONIETTA,010004
3.cand.6,3.cand.6.liste.0,3,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,8,0.40,FERRANDO,MARCO GIUSEPPE,010004
4.cand.0,4.cand.0.liste.2,4,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,54,9.56,BUCCI,MARCO,010005
4.cand.0,4.cand.0.liste.1,4,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,78,13.81,BUCCI,MARCO,010005
4.cand.0,4.cand.0.liste.3,4,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,46,8.14,BUCCI,MARCO,010005
4.cand.1,4.cand.1.liste.4,4,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,21,3.72,ORLANDO,ANDREA,010005
4.cand.1,4.cand.1.liste.0,4,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,86,15.22,ORLANDO,ANDREA,010005
4.cand.1,4.cand.1.liste.5,4,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,2,0.35,ORLANDO,ANDREA,010005
4.cand.3,4.cand.3.liste.0,4,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,6,1.06,ROLLANDO,NICOLA,010005
4.cand.8,4.cand.8.liste.0,4,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,1,0.18,ROSSON,ALESSANDRO,010005
4.cand.4,4.cand.4.liste.0,4,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,3,0.53,TOSCANO,FRANCESCO,010005
4.cand.0,4.cand.0.liste.6,4,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,4,0.71,BUCCI,MARCO,010005
4.cand.1,4.cand.1.liste.1,4,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,27,4.78,ORLANDO,ANDREA,010005
4.cand.5,4.cand.5.liste.0,4,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,3,0.53,MORRA,NICOLA,010005
4.cand.0,4.cand.0.liste.5,4,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,7,1.24,BUCCI,MARCO,010005
4.cand.0,4.cand.0.liste.0,4,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,89,15.75,BUCCI,MARCO,010005
4.cand.0,4.cand.0.liste.4,4,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,45,7.96,BUCCI,MARCO,010005
4.cand.1,4.cand.1.liste.3,4,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,23,4.07,ORLANDO,ANDREA,010005
4.cand.1,4.cand.1.liste.2,4,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,24,4.25,ORLANDO,ANDREA,010005
4.cand.6,4.cand.6.liste.0,4,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,2,0.35,FELICE,DAVIDE,010005
4.cand.2,4.cand.2.liste.0,4,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,43,7.61,CELLA,MARIA ANTONIETTA,010005
4.cand.7,4.cand.7.liste.0,4,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,1,0.18,FERRANDO,MARCO GIUSEPPE,010005
5.cand.0,5.cand.0.liste.0,5,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,485,23.66,BUCCI,MARCO,010006
5.cand.0,5.cand.0.liste.1,5,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,277,13.51,BUCCI,MARCO,010006
5.cand.0,5.cand.0.liste.2,5,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,152,7.41,BUCCI,MARCO,010006
5.cand.1,5.cand.1.liste.3,5,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,55,2.68,ORLANDO,ANDREA,010006
5.cand.1,5.cand.1.liste.0,5,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,519,25.32,ORLANDO,ANDREA,010006
5.cand.1,5.cand.1.liste.5,5,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,15,0.73,ORLANDO,ANDREA,010006
5.cand.6,5.cand.6.liste.0,5,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,4,0.20,ROLLANDO,NICOLA,010006
5.cand.8,5.cand.8.liste.0,5,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,1,0.05,ROSSON,ALESSANDRO,010006
5.cand.4,5.cand.4.liste.0,5,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,10,0.49,TOSCANO,FRANCESCO,010006
5.cand.0,5.cand.0.liste.6,5,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,5,0.24,BUCCI,MARCO,010006
