_link_main,_link,cogn,nome,a_nome,d_nasc,l_nasc,pos,desc_lis_r,img_lis_r,voti,perc,tot_vot_lis,perc_lis,com_istat_code
84,84.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,5,2.01,5,2.16,008019
84,84.cand.3,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,2,0.80,2,0.86,008019
84,84.cand.4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,2,0.80,3,1.29,008019
84,84.cand.5,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,0.40,1,0.43,008019
84,84.cand.6,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008019
84,84.cand.7,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008019
84,84.cand.8,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,1,0.43,008019
85,85.cand.0,BUCCI,MARCO,,19591031000000,GENOVA,8,,,108,71.05,105,71.92,008020
85,85.cand.1,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,42,27.63,39,26.71,008020
85,85.cand.2,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,0.66,0,0,008020
85,85.cand.3,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,1,0.66,0,0,008020
85,85.cand.4,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008020
85,85.cand.5,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008020
85,85.cand.6,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,2,1.37,008020
85,85.cand.7,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008020
85,85.cand.8,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008020
86,86.cand.0,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008021
86,86.cand.1,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0,008021
86,86.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008021
86,86.cand.3,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008021
86,86.cand.4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0,008021
86,86.cand.5,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008021
86,86.cand.6,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008021
86,86.cand.7,BUCCI,MARCO,,19591031000000,GENOVA,8,,,0,0,0,0,008021
86,86.cand.8,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,0,0,0,0,008021
87,87.cand.0,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008022
87,87.cand.1,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0,008022
87,87.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008022
87,87.cand.3,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008022
87,87.cand.4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0,008022
87,87.cand.5,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008022
87,87.cand.6,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008022
87,87.cand.7,BUCCI,MARCO,,19591031000000,GENOVA,8,,,0,0,0,0,008022
87,87.cand.8,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,0,0,0,0,008022
88,88.cand.0,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008023
88,88.cand.1,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0,008023
88,88.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008023
88,88.cand.3,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008023
88,88.cand.4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0,008023
88,88.cand.5,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008023
88,88.cand.6,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008023
88,88.cand.7,BUCCI,MARCO,,19591031000000,GENOVA,8,,,0,0,0,0,008023
88,88.cand.8,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,0,0,0,0,008023
89,89.cand.0,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008024
89,89.cand.1,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0,008024
89,89.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008024
89,89.cand.3,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008024
89,89.cand.4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0,008024
89,89.cand.5,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008024
89,89.cand.6,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008024
89,89.cand.7,BUCCI,MARCO,,19591031000000,GENOVA,8,,,0,0,0,0,008024
89,89.cand.8,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,0,0,0,0,008024
90,90.cand.0,BUCCI,MARCO,,19591031000000,GENOVA,8,,,127,63.50,124,66.31,008025
90,90.cand.1,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,59,29.50,49,26.20,008025
90,90.cand.2,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,8,4.00,8,4.28,008025
90,90.cand.3,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,3,1.50,3,1.60,008025
90,90.cand.4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,2,1.00,2,1.07,008025
90,90.cand.5,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,1,0.50,1,0.53,008025
90,90.cand.6,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008025
90,90.cand.7,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008025
90,90.cand.8,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008025
91,91.cand.0,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008026
91,91.cand.1,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0,008026
91,91.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008026
91,91.cand.3,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008026
91,91.cand.4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0,008026
91,91.cand.5,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008026
91,91.cand.6,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008026
91,91.cand.7,BUCCI,MARCO,,19591031000000,GENOVA,8,,,0,0,0,0,008026
91,91.cand.8,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,0,0,0,0,008026
92,92.cand.0,BUCCI,MARCO,,19591031000000,GENOVA,8,,,192,69.82,180,68.18,008027
92,92.cand.1,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,71,25.82,72,27.27,008027
92,92.cand.2,MORRA,NICOLA,,19630705000000,GENOVA,7,,,5,1.82,5,1.89,008027
92,92.cand.3,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,4,1.45,4,1.52,008027
92,92.cand.4,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,0.36,1,0.38,008027
92,92.cand.5,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,1,0.36,1,0.38,008027
92,92.cand.6,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,1,0.36,1,0.38,008027
92,92.cand.7,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008027
92,92.cand.8,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008027
93,93.cand.0,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0,008028
93,93.cand.1,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0,008028
93,93.cand.2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0,008028
93,93.cand.3,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0,008028
93,93.cand.4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0,008028
93,93.cand.5,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0,008028
93,93.cand.6,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0,008028
