_link,_link_cand,_link_main,pos,desc_lis_c,img_lis_c,voti,perc
6.cand.8.liste.5,6.cand.8,6,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,0
7.cand.0.liste.0,7.cand.0,7,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,0
7.cand.1.liste.0,7.cand.1,7,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
7.cand.2.liste.0,7.cand.2,7,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,0
7.cand.3.liste.0,7.cand.3,7,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,0
7.cand.4.liste.0,7.cand.4,7,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,0
7.cand.5.liste.0,7.cand.5,7,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
7.cand.6.liste.0,7.cand.6,7,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,0
7.cand.7.liste.0,7.cand.7,7,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,0
7.cand.7.liste.1,7.cand.7,7,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,0
7.cand.7.liste.2,7.cand.7,7,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,0
7.cand.7.liste.3,7.cand.7,7,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,0
7.cand.7.liste.4,7.cand.7,7,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,0
7.cand.7.liste.5,7.cand.7,7,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,0
7.cand.7.liste.6,7.cand.7,7,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,0
7.cand.8.liste.0,7.cand.8,7,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,0
7.cand.8.liste.1,7.cand.8,7,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,0
7.cand.8.liste.2,7.cand.8,7,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,0
7.cand.8.liste.3,7.cand.8,7,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,0
7.cand.8.liste.4,7.cand.8,7,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,0
7.cand.8.liste.5,7.cand.8,7,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,0
8.cand.0.liste.0,8.cand.0,8,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,0
8.cand.1.liste.0,8.cand.1,8,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
8.cand.2.liste.0,8.cand.2,8,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,0
8.cand.3.liste.0,8.cand.3,8,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,0
8.cand.4.liste.0,8.cand.4,8,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,0
8.cand.5.liste.0,8.cand.5,8,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
8.cand.6.liste.0,8.cand.6,8,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,0
8.cand.7.liste.0,8.cand.7,8,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,0
8.cand.7.liste.1,8.cand.7,8,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,0
8.cand.7.liste.2,8.cand.7,8,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,0
8.cand.7.liste.3,8.cand.7,8,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,0
8.cand.7.liste.4,8.cand.7,8,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,0
8.cand.7.liste.5,8.cand.7,8,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,0
8.cand.7.liste.6,8.cand.7,8,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,0
8.cand.8.liste.0,8.cand.8,8,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,0
8.cand.8.liste.1,8.cand.8,8,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,0
8.cand.8.liste.2,8.cand.8,8,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,0
8.cand.8.liste.3,8.cand.8,8,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,0
8.cand.8.liste.4,8.cand.8,8,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,0
8.cand.8.liste.5,8.cand.8,8,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,0
9.cand.0.liste.0,9.cand.0,9,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,0
9.cand.1.liste.0,9.cand.1,9,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
9.cand.2.liste.0,9.cand.2,9,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,0
9.cand.3.liste.0,9.cand.3,9,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,0
9.cand.4.liste.0,9.cand.4,9,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,0
9.cand.5.liste.0,9.cand.5,9,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
9.cand.6.liste.0,9.cand.6,9,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,0
9.cand.7.liste.0,9.cand.7,9,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,0
