_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_com,int_cod_com,int_desc_prov,int_cod_prov,int_ele_m,int_ele_f,int_ele_t,int_vot_m,int_vot_f,int_vot_t,int_perc_vot,int_sz_pres,int_sz_cons,int_sz_tot,int_fine_rip,int_sk_bianche,int_sk_nulle,int_sk_contestate,int_tot_vot_cand,int_tot_vot_lis,int_non_valid,int_dt_agg,int_data_prec_elez,int_reg_sto,int_prov_sto,int_comu_sto,int_circ_sto,int_tipo_tras
91,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DIANO CASTELLO,240,IMPERIA,37,907,948,1855,0,0,0,0,1,1,2,N,0,0,0,360,338,,20241028183602,20200920000000,7,37,240,37,SZ
92,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DIANO MARINA,250,IMPERIA,37,2395,2753,5148,914,1022,1936,"37,61",7,7,7,N,18,44,0,1874,1785,,20241028190004,20200920000000,7,37,250,37,SZ
93,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DIANO SAN PIETRO,260,IMPERIA,37,439,450,889,201,184,385,"43,31",1,1,1,N,7,2,0,376,360,,20241028175608,20200920000000,7,37,260,37,SZ
94,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DOLCEACQUA,270,IMPERIA,37,943,946,1889,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,37,270,37,SZ
95,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DOLCEDO,280,IMPERIA,37,526,492,1018,0,0,0,0,1,1,2,N,0,0,0,66,60,,20241028170549,20200920000000,7,37,280,37,SZ
96,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,IMPERIA,290,IMPERIA,37,16462,17849,34311,0,0,0,0,21,21,44,N,0,0,0,6416,6163,,20241028190228,20200920000000,7,37,290,37,SZ
97,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ISOLABONA,300,IMPERIA,37,296,289,585,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,300,37,SZ
98,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LUCINASCO,301,IMPERIA,37,108,109,217,56,46,102,"47,00",1,1,1,N,2,3,0,97,96,,20241028172240,20200920000000,7,37,301,37,SZ
99,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MENDATICA,310,IMPERIA,37,89,65,154,61,35,96,"62,34",1,1,1,N,0,1,0,95,91,,20241028162701,20200920000000,7,37,310,37,SZ
100,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MOLINI DI TRIORA,320,IMPERIA,37,251,227,478,81,81,162,"33,89",2,2,2,N,4,1,0,157,155,,20241028164109,20200920000000,7,37,320,37,SZ
101,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MONTALTO CARPASIO,325,IMPERIA,37,253,219,472,81,85,166,"35,17",2,2,2,N,3,8,0,155,145,,20241028182240,20200920000000,7,37,325,37,SZ
102,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MONTEGROSSO PIAN LATTE,340,IMPERIA,37,47,54,101,40,37,77,"76,24",1,1,1,N,2,2,0,73,69,,20241028171325,20200920000000,7,37,340,37,SZ
103,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,OLIVETTA SAN MICHELE,350,IMPERIA,37,114,98,212,40,31,71,"33,49",1,1,1,N,0,4,0,67,66,,20241028190035,20200920000000,7,37,350,37,SZ
104,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,OSPEDALETTI,360,IMPERIA,37,1399,1485,2884,517,542,1059,"36,72",4,4,4,N,5,16,0,1038,973,,20241028175521,20200920000000,7,37,360,37,SZ
105,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PERINALDO,370,IMPERIA,37,369,331,700,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,370,37,SZ
